Numer of labeled samples:14396   AUC:0.983
Numer of labeled samples:14407   AUC:0.984
Numer of labeled samples:14398   AUC:0.982
Numer of labeled samples:14387   AUC:0.983
Numer of labeled samples:14395   AUC:0.984
Numer of labeled samples:14400   AUC:0.983
Numer of labeled samples:14400   AUC:0.984
Numer of labeled samples:14393   AUC:0.983
Numer of labeled samples:14393   AUC:0.981
Numer of labeled samples:14398   AUC:0.982
Numer of labeled samples:14397   AUC:0.982
Numer of labeled samples:14395   AUC:0.981
Numer of labeled samples:14393   AUC:0.982
Numer of labeled samples:14405   AUC:0.982
Numer of labeled samples:14403   AUC:0.983
Numer of labeled samples:14402   AUC:0.983
Numer of labeled samples:14392   AUC:0.985
Numer of labeled samples:14415   AUC:0.984
Numer of labeled samples:14397   AUC:0.981
Numer of labeled samples:14399   AUC:0.983
Numer of labeled samples:14412   AUC:0.982
Numer of labeled samples:14401   AUC:0.982
Numer of labeled samples:14402   AUC:0.983
Numer of labeled samples:14407   AUC:0.984
Numer of labeled samples:14403   AUC:0.983
Numer of labeled samples:14403   AUC:0.983
Numer of labeled samples:14399   AUC:0.983
Numer of labeled samples:14404   AUC:0.983
Numer of labeled samples:14398   AUC:0.983
Numer of labeled samples:14406   AUC:0.982
Numer of labeled samples:14408   AUC:0.982
Numer of labeled samples:14404   AUC:0.983
Numer of labeled samples:14406   AUC:0.984
Numer of labeled samples:14405   AUC:0.982
Numer of labeled samples:14409   AUC:0.983
Numer of labeled samples:14407   AUC:0.981
Numer of labeled samples:14412   AUC:0.983
Numer of labeled samples:14412   AUC:0.985
Numer of labeled samples:14393   AUC:0.982
Numer of labeled samples:14416   AUC:0.983
Numer of labeled samples:14406   AUC:0.982
Numer of labeled samples:14403   AUC:0.981
Numer of labeled samples:14405   AUC:0.983
Numer of labeled samples:14411   AUC:0.982
Numer of labeled samples:14412   AUC:0.980
Numer of labeled samples:14414   AUC:0.982
Numer of labeled samples:14411   AUC:0.981
Numer of labeled samples:14406   AUC:0.982
Numer of labeled samples:14409   AUC:0.980
Numer of labeled samples:14410   AUC:0.981
Numer of labeled samples:14406   AUC:0.981
Numer of labeled samples:14414   AUC:0.983
Numer of labeled samples:14411   AUC:0.981
Numer of labeled samples:14414   AUC:0.983
Numer of labeled samples:14414   AUC:0.982
Numer of labeled samples:14411   AUC:0.983
Numer of labeled samples:14405   AUC:0.983
Numer of labeled samples:14408   AUC:0.981
Numer of labeled samples:14410   AUC:0.981
Numer of labeled samples:14408   AUC:0.982
Numer of labeled samples:14410   AUC:0.981
Numer of labeled samples:14408   AUC:0.981
Numer of labeled samples:14410   AUC:0.981
Numer of labeled samples:14411   AUC:0.983
Numer of labeled samples:14415   AUC:0.980
Numer of labeled samples:14414   AUC:0.983
Numer of labeled samples:14412   AUC:0.982
Numer of labeled samples:14422   AUC:0.983
Numer of labeled samples:14426   AUC:0.981
Numer of labeled samples:14435   AUC:0.983
Numer of labeled samples:14419   AUC:0.982
Numer of labeled samples:14417   AUC:0.983
Numer of labeled samples:14424   AUC:0.981
Numer of labeled samples:14414   AUC:0.981
Numer of labeled samples:14415   AUC:0.982
Numer of labeled samples:14418   AUC:0.981
Numer of labeled samples:14418   AUC:0.980
Numer of labeled samples:14425   AUC:0.980
Numer of labeled samples:14418   AUC:0.980
Numer of labeled samples:14424   AUC:0.981
Numer of labeled samples:14420   AUC:0.979
Numer of labeled samples:14420   AUC:0.983
Numer of labeled samples:14415   AUC:0.982
Numer of labeled samples:14426   AUC:0.983
Numer of labeled samples:14414   AUC:0.982
Numer of labeled samples:14427   AUC:0.982
Numer of labeled samples:14418   AUC:0.981
Numer of labeled samples:14431   AUC:0.981
